ID,Name,Description,Category,Comment,Cognateset_ID,CognatesetReference_ID,Chapter_ID
3-10-3-2-301-PWOc-tabuqar-a-1,,,,,3-10-3-2-301-PWOc-tabuqar-a,3-10-3-2-301-PWOc-tabuqar-a,3-10
3-10-4-1-305-POc-bakga-a-1,,,,,3-10-4-1-305-POc-bakga-a,3-10-4-1-305-POc-bakga-a,3-10
3-11-2-1-315-POc-kaari-a-1,,,,,3-11-2-1-315-POc-kaari-a,3-11-2-1-315-POc-kaari-a,3-11
3-11-2-4-326-POc-qatv-a-1,,,,,3-11-2-4-326-POc-qatv-a,3-11-2-4-326-POc-qatv-a,3-11
3-11-2-5-332-POc-mana-a-1,,,,,3-11-2-5-332-POc-mana-a,3-11-2-5-332-POc-mana-a,3-11
3-11-3-3-340-POc-iubu-a-1,,,,,3-11-3-3-340-POc-iubu-a,3-11-3-3-340-POc-iubu-a,3-11
3-11-3-4-342-PWOc-kasuwai-a-1,,,,,3-11-3-4-342-PWOc-kasuwai-a,3-11-3-4-342-PWOc-kasuwai-a,3-11
3-11-3-7-350-POc-mariasapa-a-1,,,,,3-11-3-7-350-POc-mariasapa-a,3-11-3-7-350-POc-mariasapa-a,3-11
3-11-4-2-352-PWOc-lapuka-a-1,,,,,3-11-4-2-352-PWOc-lapuka-a,3-11-4-2-352-PWOc-lapuka-a,3-11
3-12-3-4-364-POc-kulu-a-1,,,,,3-12-3-4-364-POc-kulu-a,3-12-3-4-364-POc-kulu-a,3-12
3-12-3-4-365-POc-marao-b-1,,,,,1-5-9-4-135-POc-marao-a,3-12-3-4-365-POc-marao-b,3-12
3-12-3-5-366-POc-taba-a-1,,,,,3-12-3-5-366-POc-taba-a,3-12-3-5-366-POc-taba-a,3-12
3-12-5-1-380-POc-usiri-a-1,,,,,3-12-5-1-380-POc-usiri-a,3-12-5-1-380-POc-usiri-a,3-12
3-12-5-1-380-PWOc-pagal-a-1,,,,,3-12-5-1-380-PWOc-pagal-a,3-12-5-1-380-PWOc-pagal-a,3-12
3-12-5-1-381-POc-suluq-a-1,,,,,3-12-5-1-381-POc-suluq-a,3-12-5-1-381-POc-suluq-a,3-12
3-12-5-1-382-POc-ramar-a-1,,,,,1-8-8-None-221-POc-dramar-a,3-12-5-1-382-POc-ramar-a,3-12
3-12-5-1-383-POc-balapbaq-a-1,,,,,3-12-5-1-383-POc-balapbaq-a,3-12-5-1-383-POc-balapbaq-a,3-12
3-12-5-1-383-POc-sasari-a-1,,,,,3-12-5-1-383-POc-sasari-a,3-12-5-1-383-POc-sasari-a,3-12
3-13-2-1-390-POc-topu-a-1,,,,,3-13-2-1-390-POc-topu-a,3-13-2-1-390-POc-topu-a,3-13
3-13-2-2-395-PMM-siqarra-a-1,,,,,3-13-2-2-395-PMM-siqarra-a,3-13-2-2-395-PMM-siqarra-a,3-13
3-13-6-4-418-PWOc-marre-a-1,,,,,3-13-6-4-418-PWOc-marre-a,3-13-6-4-418-PWOc-marre-a,3-13
3-13-6-4-419-POc-kariqa-a-1,,,,,3-13-6-4-419-POc-kariqa-a,3-13-6-4-419-POc-kariqa-a,3-13
4-2-4-None-30-POc-bakewa-a-1,,,,,4-2-4-None-30-POc-bakewa-a,4-2-4-None-30-POc-bakewa-a,4-2
4-2-4-None-31-POc-maewa-a-1,,,,,4-2-4-None-31-POc-maewa-a,4-2-4-None-31-POc-maewa-a,4-2
4-2-4-None-32-PCP-qaso-a-1,,,,,4-2-4-None-32-PCP-qaso-a,4-2-4-None-32-PCP-qaso-a,4-2
4-2-6-None-36-POc-kuro-a-1,,,,,4-2-6-None-36-POc-kuro-a,4-2-6-None-36-POc-kuro-a,4-2
4-2-6-None-37-POc-pupulan-a-1,,,,,4-2-6-None-37-POc-pupulan-a,4-2-6-None-37-POc-pupulan-a,4-2
4-2-7-None-40-PEOc-buma-a-1,The items listed here other than from Ba are due to John Lynch (pers. comm.),,,,4-2-7-None-40-PEOc-buma-a,4-2-7-None-40-PEOc-buma-a,4-2
4-2-8-None-41-POc-qawaq-a-1,,,,,4-2-8-None-41-POc-qawaq-a,4-2-8-None-41-POc-qawaq-a,4-2
4-2-11-3-45-PROc-bonu-a-1,,,,,4-2-11-3-45-PROc-bonu-a,4-2-11-3-45-PROc-bonu-a,4-2
4-2-11-5-46-PROc-maraya-a-1,,,,,4-2-11-5-46-PROc-maraya-a,4-2-11-5-46-PROc-maraya-a,4-2
4-2-11-5-47-POc-kqasuli-a-1,,,,,4-2-11-5-47-POc-kqasuli-a,4-2-11-5-47-POc-kqasuli-a,4-2
4-2-11-5-47-POc-tdoloq-a-1,,,,,4-2-11-5-47-POc-tdoloq-a,4-2-11-5-47-POc-tdoloq-a,4-2
4-2-11-5-48-PEOc-pulewa-a-1,,,,,4-2-11-5-48-PEOc-pulewa-a,4-2-11-5-48-PEOc-pulewa-a,4-2
4-2-13-None-50-POc-makor-a-1,,,,,4-2-13-None-50-POc-makor-a,4-2-13-None-50-POc-makor-a,4-2
4-2-13-None-51-POc-panapa-a-1,,,,,4-2-13-None-51-POc-panapa-a,4-2-13-None-51-POc-panapa-a,4-2
4-2-14-None-53-POc-taraqan-a-1,,,,,4-2-14-None-53-POc-taraqan-a,4-2-14-None-53-POc-taraqan-a,4-2
4-2-14-None-55-POc-jori-a-1,,,,,4-2-14-None-55-POc-jori-a,4-2-14-None-55-POc-jori-a,4-2
4-2-16-None-56-POc-puqaya-a-1,,,,,4-2-16-None-56-POc-puqaya-a,4-2-16-None-56-POc-puqaya-a,4-2
4-2-18-None-59-POc-kqaruas-a-1,,,,,4-2-18-None-59-POc-kqaruas-a,4-2-18-None-59-POc-kqaruas-a,4-2
4-2-20-None-62-POc-qalu-a-1,,,,,4-2-20-None-62-POc-qalu-a,4-2-20-None-62-POc-qalu-a,4-2
4-2-22-None-64-POc-kurapu-a-1,,,,,4-2-22-None-64-POc-kurapu-a,4-2-22-None-64-POc-kurapu-a,4-2
4-2-22-None-66-POc-kawakawa-a-1,,,,,4-2-22-None-66-POc-kawakawa-a,4-2-22-None-66-POc-kawakawa-a,4-2
4-2-26-None-70-POc-qulua-a-1,,,,,4-2-26-None-70-POc-qulua-a,4-2-26-None-70-POc-qulua-a,4-2
4-2-27-None-73-POc-palata-a-1,,,,,4-2-27-None-73-POc-palata-a,4-2-27-None-73-POc-palata-a,4-2
